Geneid	Chr	Start	End	Strand	Length	BF1	BF2	BF3	BF4	BF5	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5
NFRAN_RS02800	NZ_LR216287.1	622970	623941	+	972	10526	13581	14901	11857	12112	14217	12661	11869	17508	16669
NFRAN_RS02805	NZ_LR216287.1	623941	624597	+	657	3993	3469	4561	4659	5149	5092	3984	4423	5358	6101
NFRAN_RS02810	NZ_LR216287.1	624771	624886	-	116	68	72	107	56	107	132	112	148	192	263
NFRAN_RS02815	NZ_LR216287.1	626327	626980	+	654	33	29	34	29	29	22	30	40	74	90
NFRAN_RS02820	NZ_LR216287.1	627458	627772	+	315	40	131	77	66	122	80	121	116	97	139
NFRAN_RS02835	NZ_LR216287.1	628591	629001	-	411	4692	4975	5588	6403	7865	14144	11891	10881	13647	16950
NFRAN_RS02840	NZ_LR216287.1	629985	631097	-	1113	10945	10490	13412	11833	9804	6087	6461	6057	6754	7513
NFRAN_RS02845	NZ_LR216287.1	631851	632048	+	198	0	49	14	8	25	4	7	0	20	36
NFRAN_RS02850	NZ_LR216287.1	632041	632343	-	303	11	24	21	20	11	13	16	6	9	31
NFRAN_RS02855	NZ_LR216287.1	632350	632649	-	300	89	106	72	42	60	52	56	104	61	59
NFRAN_RS02860	NZ_LR216287.1	632706	633020	-	315	183	195	195	196	126	168	165	228	88	276
NFRAN_RS02865	NZ_LR216287.1	633375	633983	+	609	4	18	0	6	4	8	14	14	16	11
NFRAN_RS02870	NZ_LR216287.1	635526	635600	-	75	73	101	98	53	204	112	109	67	89	186
NFRAN_RS02875	NZ_LR216287.1	635814	636272	-	459	1527	1218	1968	2012	2227	2838	2496	2271	2913	3354
NFRAN_RS02880	NZ_LR216287.1	636420	638171	+	1752	3402	3995	3585	3963	3626	4813	4306	4252	4654	5941
NFRAN_RS02885	NZ_LR216287.1	638342	639181	+	840	813	1280	826	909	958	1207	1201	1413	1534	1555
NFRAN_RS02890	NZ_LR216287.1	639269	639688	-	420	1885	3066	2147	1959	2713	2928	2926	2889	3685	4400
NFRAN_RS02895	NZ_LR216287.1	639971	641113	+	1143	717	877	969	923	1054	918	691	783	925	1272
NFRAN_RS02900	NZ_LR216287.1	641652	642869	+	1218	1118	1186	1066	1233	1249	1907	1950	1644	1919	2392
NFRAN_RS02905	NZ_LR216287.1	642915	643832	-	918	2516	3034	1922	2507	2725	3613	3215	4023	3872	5504
NFRAN_RS02910	NZ_LR216287.1	643858	645282	-	1425	8013	7596	5946	7349	9030	10305	10704	10649	10984	14725
NFRAN_RS02915	NZ_LR216287.1	645306	645998	-	693	6031	7417	4891	6322	6930	7228	7726	7875	9389	10504
NFRAN_RS02920	NZ_LR216287.1	646463	646822	-	360	568	950	527	842	1111	1411	1494	1607	1891	2329
NFRAN_RS02925	NZ_LR216287.1	646907	647220	-	314	2056583	5421380	4064028	2590973	2400042	1019553	1147289	1167352	1507204	1938184
NFRAN_RS02930	NZ_LR216287.1	647324	648994	-	1671	115787	104308	114222	109540	138251	168069	150606	160146	195646	208156
NFRAN_RS02935	NZ_LR216287.1	649087	649569	-	483	16340	21549	17633	15640	19895	24665	23822	24357	35232	31687
NFRAN_RS02940	NZ_LR216287.1	649612	650358	-	747	24154	27306	27624	25516	27526	29138	24615	28641	36617	36477
NFRAN_RS02945	NZ_LR216287.1	650479	651381	+	903	811	889	774	735	1090	984	1194	1247	1574	1577
NFRAN_RS02950	NZ_LR216287.1	651514	651930	+	417	419	330	359	413	414	421	290	406	455	488
NFRAN_RS02955	NZ_LR216287.1	651974	652420	-	447	10045	12540	10629	10018	12964	15250	13345	14609	18218	20349
NFRAN_RS02960	NZ_LR216287.1	652432	652866	-	435	3929	3993	4897	5494	5512	6395	6248	5127	7371	7828
NFRAN_RS02965	NZ_LR216287.1	653022	653648	+	627	48508	34070	63762	57395	41732	28647	28642	25384	32845	35320
NFRAN_RS02970	NZ_LR216287.1	653665	654411	-	747	1483	1046	1450	1573	1457	1751	1276	1417	1791	1981
NFRAN_RS02975	NZ_LR216287.1	654484	654831	+	348	399	514	328	493	806	738	784	578	957	1245
NFRAN_RS13565	NZ_LR216287.1	654929	655058	+	130	1416	3160	3150	2818	3316	2673	2585	2763	3676	4363
NFRAN_RS02980	NZ_LR216287.1	655114	656676	-	1563	24979	29126	25003	22505	29178	39602	37244	34643	43149	47191
NFRAN_RS02985	NZ_LR216287.1	656860	657627	-	768	1525	1510	1360	1346	1637	2434	2137	2087	2819	3059
NFRAN_RS02990	NZ_LR216287.1	657700	658008	-	309	531	535	674	659	641	929	809	886	1169	1374
NFRAN_RS02995	NZ_LR216287.1	658059	659006	-	948	1931	2571	2194	2053	2900	4053	3459	3719	4974	5884
NFRAN_RS03000	NZ_LR216287.1	659045	660382	-	1338	12391	12222	12403	11241	13432	17915	15310	16869	19823	22894
NFRAN_RS03005	NZ_LR216287.1	660443	660940	-	498	2731	3343	3392	3344	3771	4635	4285	4137	5197	4979
NFRAN_RS03010	NZ_LR216287.1	661281	662324	+	1044	7480	8230	7426	7954	10759	14692	11658	13252	17181	18579
NFRAN_RS03015	NZ_LR216287.1	662382	663917	-	1536	49687	38651	61726	50236	36762	27492	27032	24629	30726	36752
NFRAN_RS03020	NZ_LR216287.1	664025	664375	+	351	123	195	160	117	127	155	153	152	254	273
NFRAN_RS03025	NZ_LR216287.1	664387	664842	+	456	455	488	683	681	528	712	648	561	990	1108
NFRAN_RS03030	NZ_LR216287.1	664844	665155	+	312	997	1452	982	1119	1220	1129	975	1166	1525	1554
NFRAN_RS03035	NZ_LR216287.1	665152	665961	-	810	3519	3588	3239	2852	3922	5665	5354	5003	5920	7031
NFRAN_RS03040	NZ_LR216287.1	665958	666494	-	537	445	507	588	668	852	1287	984	1083	1518	1402
NFRAN_RS03045	NZ_LR216287.1	666559	667209	+	651	722	922	1061	985	991	1418	970	1084	1536	1592
NFRAN_RS03050	NZ_LR216287.1	667255	668397	-	1143	1894	1956	2212	2135	2458	2519	2187	2208	2821	2997
NFRAN_RS03055	NZ_LR216287.1	668394	668984	-	591	1573	1654	1888	1370	1985	2321	1914	1887	2510	2729
NFRAN_RS03060	NZ_LR216287.1	669041	669952	-	912	1445	1768	1665	1436	1827	2610	2411	2366	2808	3019
NFRAN_RS03065	NZ_LR216287.1	670009	670590	+	582	1237	1552	1543	1383	1416	1440	1351	1268	1771	1928
NFRAN_RS03070	NZ_LR216287.1	670718	671296	-	579	6821	8179	7779	6668	7969	9859	8802	8886	11823	13089
NFRAN_RS03075	NZ_LR216287.1	671354	671608	-	255	679	1380	1001	677	1388	1290	1273	1281	1826	2201
NFRAN_RS03080	NZ_LR216287.1	671611	671910	-	300	1054	1497	1096	1120	1603	2116	1364	1797	1633	2736
NFRAN_RS03085	NZ_LR216287.1	671918	672721	-	804	810	791	1060	1161	901	856	917	774	1036	1256
NFRAN_RS03090	NZ_LR216287.1	672897	673127	+	231	660	1394	1226	1147	1442	2494	2334	2462	3109	3413
NFRAN_RS03095	NZ_LR216287.1	673221	673319	+	99	115	229	143	124	240	277	214	199	418	416
NFRAN_RS03100	NZ_LR216287.1	673326	673907	-	582	2137	1989	1767	1716	2352	2519	2227	2845	3880	4134
NFRAN_RS03105	NZ_LR216287.1	674232	675149	-	918	15556	17442	16742	15346	17605	20737	19093	19247	26920	25978
NFRAN_RS03110	NZ_LR216287.1	675164	676279	-	1116	7463	7890	8430	8102	8530	10067	10026	10277	12440	12644
NFRAN_RS03115	NZ_LR216287.1	676377	676847	-	471	951	1056	1195	1339	1439	2700	2307	2025	2663	3044
NFRAN_RS03120	NZ_LR216287.1	676953	677273	+	321	229	233	236	270	336	268	228	308	324	380
NFRAN_RS03125	NZ_LR216287.1	677290	678081	-	792	1026	1350	1119	978	1513	2320	2208	2421	2383	3006
NFRAN_RS03130	NZ_LR216287.1	678083	678793	-	711	884	1391	1035	1229	1801	3354	2786	2488	2943	3576
NFRAN_RS03135	NZ_LR216287.1	679071	679730	+	660	2373	2961	2318	1948	2477	2820	2596	2702	3554	3603
NFRAN_RS03140	NZ_LR216287.1	679742	681265	+	1524	7393	8404	8339	6881	7514	9442	8275	8388	11055	10816
NFRAN_RS03145	NZ_LR216287.1	681440	681628	-	189	224	250	274	204	247	440	331	367	471	442
NFRAN_RS03150	NZ_LR216287.1	681625	682404	-	780	121	301	132	236	250	324	246	307	351	459
NFRAN_RS03155	NZ_LR216287.1	682524	682943	+	420	1781	1330	1720	1473	1445	1301	1113	1376	1631	1654
NFRAN_RS03160	NZ_LR216287.1	683038	684225	+	1188	21881	19890	25540	22616	16581	12882	12158	12208	15001	16187
NFRAN_RS03165	NZ_LR216287.1	684351	685076	+	726	2787	2428	3587	3288	3170	3232	3016	2729	3142	4469
NFRAN_RS13570	NZ_LR216287.1	685114	685254	+	141	420	789	572	593	703	978	810	840	1154	1195
NFRAN_RS03170	NZ_LR216287.1	685343	685771	+	429	774	1302	1250	1313	1435	1463	1324	1446	1726	2158
NFRAN_RS03175	NZ_LR216287.1	685786	686376	-	591	1197	1621	1516	1297	1456	1784	1363	1575	2262	2394
NFRAN_RS03180	NZ_LR216287.1	686425	686832	-	408	21466	19328	21790	20658	25848	36883	33084	30131	38726	41554
NFRAN_RS03185	NZ_LR216287.1	687130	687537	-	408	33126	39552	35183	35052	49029	83109	79937	76307	97711	105040
NFRAN_RS03190	NZ_LR216287.1	687693	688460	+	768	337	368	444	407	427	248	298	309	315	465
NFRAN_RS03195	NZ_LR216287.1	688584	688829	+	246	743	1020	866	1035	1235	1617	1336	1273	1691	1716
NFRAN_RS03200	NZ_LR216287.1	688838	689320	-	483	197	158	181	253	296	425	302	363	304	595
NFRAN_RS03205	NZ_LR216287.1	689414	690415	+	1002	4447	5268	5248	4626	5716	8801	7954	7866	9715	10658
NFRAN_RS03210	NZ_LR216287.1	690883	692319	-	1437	18144	22085	18613	19409	23576	40319	32732	31744	39944	45493
NFRAN_RS03215	NZ_LR216287.1	692516	693604	-	1089	64601	48436	69726	48794	49078	54444	39734	50493	67360	50739
NFRAN_RS03220	NZ_LR216287.1	693663	694010	-	348	257	488	558	661	602	308	390	314	380	574
NFRAN_RS03225	NZ_LR216287.1	694122	694622	+	501	589	1293	940	891	1246	2183	1723	1765	2184	2716
NFRAN_RS03230	NZ_LR216287.1	694657	694944	-	288	304	447	182	433	445	602	611	601	555	863
NFRAN_RS03235	NZ_LR216287.1	695078	695293	-	216	10	6	12	6	44	15	12	38	20	30
NFRAN_RS03240	NZ_LR216287.1	695594	696370	+	777	834	818	1180	974	1169	1771	1252	1498	1852	1984
NFRAN_RS03245	NZ_LR216287.1	696439	696987	+	549	5884	5402	6861	7280	6309	7683	6591	6557	7697	9594
NFRAN_RS03250	NZ_LR216287.1	696993	697982	+	990	6494	5437	6359	5878	6315	6794	6448	5826	7585	8041
NFRAN_RS03255	NZ_LR216287.1	698322	699236	-	915	1336	1407	1283	1404	2102	2871	2354	2483	3155	3678
NFRAN_RS03260	NZ_LR216287.1	699259	700674	-	1416	5599	6101	5741	4888	5678	7751	6621	6902	9009	9893
NFRAN_RS03265	NZ_LR216287.1	700703	701809	-	1107	315	305	316	297	307	632	450	471	539	722
NFRAN_RS03270	NZ_LR216287.1	702033	702293	-	261	3728	3995	4742	4729	4628	5293	4123	5088	7046	6700
NFRAN_RS03275	NZ_LR216287.1	702457	704835	-	2379	13541	12889	16041	16209	12181	13501	13034	12233	14513	15231
NFRAN_RS03280	NZ_LR216287.1	704885	705142	-	258	1035	1001	1242	1845	1069	1177	1085	1080	909	1237
NFRAN_RS03285	NZ_LR216287.1	705247	705945	+	699	1734	1898	1891	1577	1724	1787	1767	1542	2162	2253
NFRAN_RS03290	NZ_LR216287.1	706141	706380	-	240	153	251	383	321	490	418	346	434	495	836
NFRAN_RS03295	NZ_LR216287.1	706435	706710	-	276	545	663	787	517	456	506	392	357	634	589
NFRAN_RS03300	NZ_LR216287.1	707369	708703	-	1335	1069	1983	1132	955	1203	2322	2259	1967	2581	2595
NFRAN_RS03305	NZ_LR216287.1	708700	709137	-	438	136	209	122	208	368	518	394	468	565	733
NFRAN_RS03310	NZ_LR216287.1	709744	710952	+	1209	2224	2745	2923	2620	2745	3412	3164	3350	3621	4029
NFRAN_RS03315	NZ_LR216287.1	711332	712366	-	1035	2377	2665	2219	2594	3569	5017	4621	4373	4721	6736
NFRAN_RS03320	NZ_LR216287.1	713187	713807	+	621	20094	14419	20418	21807	17408	13833	14598	13298	13988	18897
NFRAN_RS03325	NZ_LR216287.1	713814	714230	+	417	6055	4829	6463	7896	5947	4587	4529	4485	4507	5627
NFRAN_RS03330	NZ_LR216287.1	714477	715421	+	945	1593	1690	1848	1820	1997	1909	1750	1961	1980	2597
NFRAN_RS03335	NZ_LR216287.1	715653	717917	+	2265	8297	10546	8478	8518	10770	13519	12697	11714	12502	16157
NFRAN_RS03340	NZ_LR216287.1	718220	718768	+	549	1709	2158	2015	2096	2026	2228	2070	1940	2240	2549
NFRAN_RS03345	NZ_LR216287.1	718858	719385	-	528	1091	1154	1356	1508	1386	1586	1582	1362	1436	2086
NFRAN_RS03350	NZ_LR216287.1	720525	720992	-	468	809	939	934	860	1049	1840	1580	1409	1803	2033
NFRAN_RS03355	NZ_LR216287.1	721679	723076	+	1398	1807	2406	2324	2464	2573	811	677	562	708	933
NFRAN_RS03360	NZ_LR216287.1	723730	724419	+	690	2263	2461	2139	2558	2688	5130	4244	4747	5804	6108
NFRAN_RS03365	NZ_LR216287.1	724834	725943	+	1110	2598	2676	2904	2826	2783	3917	3637	3430	4148	4577
NFRAN_RS03370	NZ_LR216287.1	726778	727821	+	1044	4021	4916	3655	4113	4904	7518	7559	6633	7267	9179
NFRAN_RS03375	NZ_LR216287.1	729017	729631	-	615	2760	1673	3184	3231	2697	3554	3091	2968	3444	4397
NFRAN_RS03380	NZ_LR216287.1	729908	730165	+	258	189	240	174	142	131	188	143	92	190	150
NFRAN_RS03385	NZ_LR216287.1	730360	731580	+	1221	14071	11915	15152	12095	12718	13054	13244	12740	13440	18631
NFRAN_RS03390	NZ_LR216287.1	731741	732178	-	438	3831	3657	5530	4444	3486	3424	2911	2547	2907	3965
NFRAN_RS03395	NZ_LR216287.1	732429	733604	-	1176	771	949	653	728	933	1495	1291	1488	1623	1832
NFRAN_RS03400	NZ_LR216287.1	734199	735905	-	1707	1823	1863	2175	2034	2078	2540	2177	1942	2527	2773
NFRAN_RS03405	NZ_LR216287.1	736059	737039	-	981	898	1130	885	846	1208	1593	1309	1295	1688	2099
NFRAN_RS03410	NZ_LR216287.1	737844	738149	-	306	305	385	585	629	482	549	415	476	560	580
NFRAN_RS03415	NZ_LR216287.1	738369	739172	+	804	1046	1227	1496	1340	1551	1811	1417	1293	1752	2262
NFRAN_RS03420	NZ_LR216287.1	739310	739993	+	684	5751	4680	7743	6794	5443	4133	3969	3863	3981	5505
NFRAN_RS03430	NZ_LR216287.1	740949	742949	-	2001	95149	94824	102385	101262	114210	129037	104747	121661	145620	155188
NFRAN_RS03435	NZ_LR216287.1	743432	743776	+	345	10869	9111	10874	14017	12083	12999	13100	12907	13680	17975
NFRAN_RS03440	NZ_LR216287.1	744688	746397	-	1710	297	255	443	335	276	266	235	301	286	308
NFRAN_RS03445	NZ_LR216287.1	746600	747769	-	1170	434	379	476	486	405	592	436	480	572	837
NFRAN_RS03450	NZ_LR216287.1	748387	748734	-	348	1835	3036	2343	2999	2786	5067	4445	4015	4249	6466
NFRAN_RS03455	NZ_LR216287.1	749742	750326	+	585	17356	17605	17112	16839	20303	31456	27374	29053	32241	38565
NFRAN_RS03460	NZ_LR216287.1	750983	751495	+	513	150	143	150	199	184	148	209	123	182	167
NFRAN_RS03465	NZ_LR216287.1	751636	752055	-	420	162	150	198	184	228	217	209	271	292	332
NFRAN_RS03470	NZ_LR216287.1	752277	752747	+	471	244	266	296	277	279	306	259	290	287	365
NFRAN_RS03475	NZ_LR216287.1	752938	754098	-	1161	4000	3623	4179	4133	5226	5671	4980	5136	6061	7658
NFRAN_RS03480	NZ_LR216287.1	754253	754477	-	225	114	116	120	135	109	117	158	157	128	200
NFRAN_RS03485	NZ_LR216287.1	754823	755392	+	570	396	314	339	360	407	8171	2826	4191	4310	4683
NFRAN_RS03490	NZ_LR216287.1	755639	756052	+	414	280	162	397	409	333	213	219	233	215	205
NFRAN_RS03495	NZ_LR216287.1	756168	756437	+	270	5212	4923	4581	8065	7499	10919	11448	10024	10291	18576
NFRAN_RS03500	NZ_LR216287.1	756845	757192	+	348	9116	7626	11826	12792	10987	8124	6725	6662	9083	11284
NFRAN_RS03505	NZ_LR216287.1	757277	757618	+	342	802	946	1185	1246	1328	1408	939	1111	1155	1838
NFRAN_RS03510	NZ_LR216287.1	757758	758027	-	270	10881	8105	14443	15869	12976	10813	9335	8871	9556	11820
NFRAN_RS03515	NZ_LR216287.1	758214	758720	+	507	389	550	617	572	694	664	549	587	682	1034
NFRAN_RS03520	NZ_LR216287.1	758877	759146	+	270	9620	9884	12879	14871	13273	11734	12929	9817	14663	16085
NFRAN_RS03525	NZ_LR216287.1	760669	761151	+	483	354	266	522	481	474	174	123	112	216	247
NFRAN_RS03530	NZ_LR216287.1	761540	761614	+	75	0	22	14	17	11	14	6	15	79	85
NFRAN_RS03535	NZ_LR216287.1	763032	764168	+	1137	1294	1400	1767	1571	1283	1037	1029	1151	1205	1441
NFRAN_RS03540	NZ_LR216287.1	764408	764647	-	240	35	94	66	40	32	33	24	12	10	53
NFRAN_RS03545	NZ_LR216287.1	764874	765212	-	339	157	88	371	283	274	177	170	121	65	143
NFRAN_RS03550	NZ_LR216287.1	765268	765462	+	195	0	14	4	3	1	4	6	1	1	11
NFRAN_RS03555	NZ_LR216287.1	766963	767238	+	276	24	127	68	118	53	108	53	38	61	79
NFRAN_RS03560	NZ_LR216287.1	767532	767771	-	240	287	294	455	374	503	432	362	450	478	772
NFRAN_RS03565	NZ_LR216287.1	768414	768737	-	324	6190	9072	5898	8390	8519	14335	15535	14098	15789	18114
NFRAN_RS03570	NZ_LR216287.1	769669	769980	-	312	4642	5097	5352	5713	5834	6355	5982	6435	6577	9055
NFRAN_RS03575	NZ_LR216287.1	770804	772108	-	1305	1231	1071	1519	1521	1502	1547	1597	1765	2127	2715
NFRAN_RS03580	NZ_LR216287.1	772306	773181	-	876	1391	1123	1624	1475	1621	1676	2155	1882	2255	3036
NFRAN_RS03585	NZ_LR216287.1	774327	775493	+	1167	2419	2181	1963	1822	2810	6358	5246	5107	5726	7457
NFRAN_RS03590	NZ_LR216287.1	776234	776734	+	501	75	75	134	133	134	67	90	75	78	111
NFRAN_RS03595	NZ_LR216287.1	777475	777768	+	294	34	44	50	112	119	202	174	190	120	201
NFRAN_RS03600	NZ_LR216287.1	778280	779413	-	1134	4995	3886	4471	5936	5898	6961	6513	6361	5994	9349
NFRAN_RS03605	NZ_LR216287.1	780885	783611	+	2727	4988	4606	4527	5354	5418	6901	7050	6919	7727	9658
NFRAN_RS03610	NZ_LR216287.1	783890	785119	+	1230	16361	18737	18700	19286	18661	26620	26921	22849	26728	28549
NFRAN_RS03615	NZ_LR216287.1	785987	786469	-	483	707	693	819	808	827	785	576	667	991	863
NFRAN_RS03620	NZ_LR216287.1	786571	787491	-	921	741	959	879	946	1236	1570	1315	1268	1810	1691
NFRAN_RS03625	NZ_LR216287.1	787504	789501	-	1998	6364	7562	7389	7266	8495	9692	8960	8855	10782	11811
NFRAN_RS03630	NZ_LR216287.1	789580	790251	-	672	4735	5347	5902	5067	5934	7096	6959	6001	7351	8771
NFRAN_RS03635	NZ_LR216287.1	790428	790682	+	255	75	248	100	117	208	290	187	141	299	403
NFRAN_RS03640	NZ_LR216287.1	791264	792319	-	1056	2269	2359	1999	1908	2789	4240	3585	3518	4019	5011
NFRAN_RS03645	NZ_LR216287.1	792407	793585	-	1179	1849	2619	1925	2177	2633	3590	2782	3173	3505	4838
NFRAN_RS03650	NZ_LR216287.1	793666	795843	-	2178	53057	53016	57795	42590	47199	45689	40142	42572	48787	57183
NFRAN_RS03655	NZ_LR216287.1	796001	796849	-	849	20561	14745	23369	21452	19567	13071	12425	11585	12920	17538
NFRAN_RS03660	NZ_LR216287.1	797006	798298	+	1293	1768	1290	1450	1352	1506	1823	1563	1525	2253	2532
NFRAN_RS03665	NZ_LR216287.1	798453	798674	+	222	644	807	722	687	706	819	812	713	1211	1463
NFRAN_RS03670	NZ_LR216287.1	798972	799598	+	627	197	368	411	445	554	550	443	708	605	943
NFRAN_RS03675	NZ_LR216287.1	799599	800105	-	507	251	239	288	246	337	373	357	319	432	567
NFRAN_RS03680	NZ_LR216287.1	800194	800697	+	504	2616	2451	2621	2625	2943	4458	3826	3812	4719	5751
NFRAN_RS03685	NZ_LR216287.1	800807	801268	-	462	3320	4150	6414	6993	5717	6499	5988	5956	7576	9982
NFRAN_RS03690	NZ_LR216287.1	802166	802438	-	273	2213	3417	3143	3265	3945	4017	4000	3664	4572	5951
NFRAN_RS03695	NZ_LR216287.1	802670	804013	-	1344	2513	2634	3061	2753	3578	4049	3134	3504	3882	4435
NFRAN_RS03700	NZ_LR216287.1	804164	805204	+	1041	2150	2275	1378	1876	2810	5588	4233	4308	5840	7050
NFRAN_RS03705	NZ_LR216287.1	805209	805991	+	783	723	657	453	583	860	1593	1263	1397	1410	1892
NFRAN_RS03710	NZ_LR216287.1	806780	807652	-	873	82	73	96	92	104	159	195	131	225	220
NFRAN_RS13575	NZ_LR216287.1	808128	808316	+	189	0	10	6	1	0	5	1	0	6	6
NFRAN_RS03715	NZ_LR216287.1	808262	808741	+	480	32	27	27	26	30	37	28	6	18	59
NFRAN_RS13580	NZ_LR216287.1	808795	808923	-	129	450	766	984	849	1314	1170	971	1122	1400	1799
NFRAN_RS03720	NZ_LR216287.1	809007	809627	-	621	7561	7611	8149	7514	8877	9200	8416	8403	9652	11048
NFRAN_RS03725	NZ_LR216287.1	809691	810485	-	795	12299	12905	13594	9942	12714	13645	11484	12722	15466	17095
NFRAN_RS03730	NZ_LR216287.1	810628	812025	-	1398	5407	6393	5556	6285	6319	8865	7305	7200	9956	10107
NFRAN_RS03735	NZ_LR216287.1	812157	812909	-	753	8557	8899	9284	9552	10703	13796	11995	12195	14892	17697
NFRAN_RS03740	NZ_LR216287.1	812962	813300	-	339	3364	3237	3357	3753	4320	5858	4928	5051	5910	6726
NFRAN_RS03745	NZ_LR216287.1	813329	813607	-	279	514	640	644	745	861	989	830	916	1064	1492
NFRAN_RS03750	NZ_LR216287.1	813663	814178	+	516	577	574	604	713	1218	1410	1247	1463	1571	2596
NFRAN_RS13585	NZ_LR216287.1	814233	814379	+	147	585	964	983	698	647	882	1076	965	1174	1498
NFRAN_RS03755	NZ_LR216287.1	814421	814780	-	360	896	1261	944	1166	1628	1869	1664	1731	2300	3469
NFRAN_RS03760	NZ_LR216287.1	814836	815099	-	264	1397	2808	1318	1737	2447	2716	3072	2864	3020	4748
NFRAN_RS03765	NZ_LR216287.1	815685	816995	+	1311	9456	14086	13445	9388	8214	8829	7946	8261	11195	11491
NFRAN_RS03770	NZ_LR216287.1	816978	818204	-	1227	2475	2051	2191	2179	2657	4117	3464	3527	3939	5781
NFRAN_RS03775	NZ_LR216287.1	818270	819457	+	1188	3892	4018	3870	3435	4374	5680	4997	4779	5982	6872
NFRAN_RS03780	NZ_LR216287.1	819504	819947	+	444	600	671	715	796	853	1114	968	981	1059	1453
NFRAN_RS03785	NZ_LR216287.1	820108	820317	+	210	624	659	795	1001	850	732	699	766	1124	1200
NFRAN_RS03790	NZ_LR216287.1	820321	821151	-	831	1089	1379	1108	935	1279	1757	1486	1521	1705	1941
NFRAN_RS03795	NZ_LR216287.1	821434	821931	-	498	14621	13841	17282	19483	18134	55587	33816	37679	37073	46211
NFRAN_RS03800	NZ_LR216287.1	822028	822453	-	426	30187	30340	38647	34284	35960	24788	26000	24418	33381	32536
NFRAN_RS03805	NZ_LR216287.1	822549	822995	+	447	12601	15221	14553	14174	18714	26894	23565	24671	28640	31802
NFRAN_RS03810	NZ_LR216287.1	822999	824513	+	1515	6271	6316	6356	6730	8257	9640	7874	8451	9837	12175
NFRAN_RS03815	NZ_LR216287.1	824497	824775	+	279	326	356	350	504	406	447	375	459	484	500
NFRAN_RS03820	NZ_LR216287.1	824768	826105	+	1338	4302	4873	4501	4563	4980	5914	5476	5717	6809	8148
NFRAN_RS03825	NZ_LR216287.1	826229	826504	+	276	18587	16731	24532	31294	26778	20466	22260	19699	20952	26367
NFRAN_RS03830	NZ_LR216287.1	826560	827075	+	516	342	521	586	677	927	802	587	679	663	1154
NFRAN_RS03835	NZ_LR216287.1	827286	827681	+	396	667	384	860	689	730	905	805	854	963	1047
NFRAN_RS03840	NZ_LR216287.1	827684	828160	-	477	4363	5331	7099	6783	7100	7520	6935	6459	7624	8828
NFRAN_RS03845	NZ_LR216287.1	828365	830005	-	1641	38718	31861	40811	38102	38590	36607	33245	31057	38351	43777
NFRAN_RS03850	NZ_LR216287.1	829986	830618	-	633	17151	20433	22453	18048	20703	22539	19004	21003	24815	29504
NFRAN_RS03855	NZ_LR216287.1	830775	831815	-	1041	1661	1706	2046	1795	2131	1752	1784	1584	1949	2262
NFRAN_RS13390	NZ_LR216287.1	831863	832018	-	156	251	435	328	351	221	207	217	215	247	402
NFRAN_RS03860	NZ_LR216287.1	832136	832366	-	231	551	601	864	890	722	592	632	621	1100	1069
NFRAN_RS03865	NZ_LR216287.1	832443	833252	-	810	4919	4561	6218	6149	5684	4807	4825	4433	5362	5589
NFRAN_RS03870	NZ_LR216287.1	833369	833468	+	100	179	411	375	267	630	386	275	403	478	796
NFRAN_RS03875	NZ_LR216287.1	834031	834297	-	267	5233	6440	7222	6570	6933	6836	7390	6325	7575	9856
NFRAN_RS13590	NZ_LR216287.1	834766	834930	+	165	142	176	163	167	128	60	42	68	98	201
NFRAN_RS03880	NZ_LR216287.1	835503	835889	-	387	309	265	396	485	512	506	337	327	365	524
NFRAN_RS03885	NZ_LR216287.1	836090	836323	-	234	150	77	133	223	173	100	90	60	46	123
NFRAN_RS03890	NZ_LR216287.1	836474	836749	+	276	1707	1757	3078	3405	2700	1788	1570	1694	2005	2066
NFRAN_RS03895	NZ_LR216287.1	837338	837871	-	534	581	917	667	954	798	1220	1187	1336	1663	1427
NFRAN_RS03900	NZ_LR216287.1	837993	838904	+	912	4646	4195	6947	7071	4789	2533	1255	1115	1639	1553
NFRAN_RS03905	NZ_LR216287.1	839022	840284	+	1263	2717	2084	2859	3150	2869	2603	2064	2006	2325	2658
NFRAN_RS03910	NZ_LR216287.1	841264	841551	-	288	472	686	878	934	869	876	791	766	1092	1213
NFRAN_RS03915	NZ_LR216287.1	841759	842562	-	804	1509	1223	1674	1504	1533	1890	1605	1761	2093	2785
NFRAN_RS03920	NZ_LR216287.1	842830	844446	+	1617	3923	4166	3578	3669	4288	5890	5821	5511	6348	8361
NFRAN_RS03925	NZ_LR216287.1	844500	844793	+	294	487	600	476	529	618	980	730	886	977	1117
NFRAN_RS03930	NZ_LR216287.1	844859	845089	-	231	1295	1222	1952	1951	1972	2161	1962	2027	2512	2526
NFRAN_RS03935	NZ_LR216287.1	845158	847371	-	2214	3403	3309	3387	3343	3643	4859	4001	4465	5892	6356
NFRAN_RS03940	NZ_LR216287.1	847328	848605	-	1278	2860	3219	2691	2553	2741	4209	3579	3728	4972	5488
NFRAN_RS13595	NZ_LR216287.1	848694	848867	-	174	12	18	2	9	4	15	12	6	12	19
NFRAN_RS03945	NZ_LR216287.1	848973	849311	+	339	441	473	654	848	599	574	651	637	531	873
NFRAN_RS03950	NZ_LR216287.1	849312	850793	+	1482	8099	6900	7197	8023	6444	6302	6543	6770	7736	8668
