Geneid	Chr	Start	End	Strand	Length	./Nvie_BF1_mRNA_sorted.bam	./Nvie_BF2_mRNA_sorted.bam	./Nvie_BF3_mRNA_sorted.bam	./Nvie_BF4_mRNA_sorted.bam	./Nvie_BF5_mRNA_sorted.bam	./Nvie_ctrl1_mRNA_sorted.bam	./Nvie_ctrl2_mRNA_sorted.bam	./Nvie_ctrl3_mRNA_sorted.bam	./Nvie_ctrl4_mRNA_sorted.bam	./Nvie_ctrl5_mRNA_sorted.bam
NVIE_0840	CP007536.1	674391	675803	-	1413	6296	8795	7352	6713	10310	13397	12931	13141	10669	9405
NVIE_008220	CP007536.1	675787	677469	-	1683	21334	30131	28176	23568	31400	41576	36396	40013	34788	28776
NVIE_008230	CP007536.1	677498	677620	-	123	1457	1715	1676	2672	2408	2335	2270	2111	1945	1112
NVIE_008240	CP007536.1	677833	678468	+	636	19012	14717	15013	16418	14306	22963	24213	24906	21086	16742
NVIE_008250	CP007536.1	678481	679008	+	528	25896	38851	34708	23184	37789	59633	48059	48277	37876	38368
NVIE_008260	CP007536.1	679005	679970	-	966	2394	2470	2823	1997	2474	2026	1742	1825	1879	1233
NVIE_008270	CP007536.1	680131	681897	+	1767	20281	28868	33333	24971	30716	25106	25517	24259	23407	17399
NVIE_008280	CP007536.1	681966	682616	-	651	31059	57216	56564	43321	63845	46883	40593	49474	33908	32007
NVIE_008290	CP007536.1	682767	683222	+	456	6143	10545	8975	6524	10154	10508	9475	10819	8113	7653
NVIE_008300	CP007536.1	683219	684316	-	1098	10982	17695	14797	9249	16400	17167	15356	15678	15347	11904
NVIE_008310	CP007536.1	684369	684728	+	360	809	1167	1091	1150	1391	1847	2015	2059	1517	1298
NVIE_008320	CP007536.1	684788	685543	+	756	3128	5052	4153	3307	5203	8907	7672	7868	7215	6038
NVIE_008330	CP007536.1	685509	686507	+	999	4034	5903	5993	3991	5856	8246	7575	7038	6450	5322
NVIE_008340	CP007536.1	686508	687368	-	861	10642	17535	14430	11058	17591	31903	25090	27159	24796	18813
NVIE_008350	CP007536.1	687481	688344	+	864	5297	8290	9158	5598	7879	8067	7612	7080	6665	5179
NVIE_008360	CP007536.1	688341	688631	-	291	953	1433	1427	1327	1543	2458	2173	2308	1938	1706
NVIE_008370	CP007536.1	688665	688883	+	219	37	24	92	39	16	43	42	36	35	18
NVIE_008380	CP007536.1	688923	691376	+	2454	5801	7356	7933	6511	7264	6856	6016	7438	6642	4815
NVIE_008390	CP007536.1	691377	691550	-	174	2340	3134	3158	2357	3285	5180	4498	4371	4550	3410
NVIE_008400	CP007536.1	691643	692338	+	696	2098	3205	3168	2177	3073	2888	2993	2852	2253	2254
NVIE_008410	CP007536.1	692513	692932	-	420	142	268	142	200	245	257	290	367	226	228
NVIE_0861	CP007536.1	692966	693160	-	195	113	136	86	157	115	187	136	233	164	160
NVIE_008420	CP007536.1	693384	693692	-	309	1338	2371	2208	1432	2425	4158	3282	3458	2277	2730
NVIE_008430	CP007536.1	693743	695542	-	1800	4552	7888	5683	4182	6285	7290	6401	7197	5787	5737
NVIE_008440	CP007536.1	695636	695953	+	318	2191	2867	2353	2581	3473	5231	5121	4980	3655	3477
NVIE_008450	CP007536.1	695946	696359	-	414	431	551	459	444	656	772	789	887	1083	571
NVIE_008460	CP007536.1	696317	696430	+	114	64	66	87	50	115	268	319	220	310	134
NVIE_008470	CP007536.1	696453	696866	+	414	7022	6827	7160	7297	8795	20395	16364	15283	19697	10716
NVIE_008480	CP007536.1	696949	698352	-	1404	2046	3299	4084	2661	3165	2369	2273	2280	1549	1454
NVIE_0868	CP007536.1	698404	698508	+	105	0	0	10	13	9	1	4	23	15	4
NVIE_008490	CP007536.1	698505	699335	-	831	3245	3972	3367	3477	4412	6719	5964	5851	5050	3791
NVIE_008500	CP007536.1	699386	699613	-	228	8874	12138	12634	9712	13864	21187	21388	17734	16965	13100
NVIE_008510	CP007536.1	699667	700110	-	444	4944	6299	5714	5808	6883	8337	8039	8540	5858	5562
NVIE_008520	CP007536.1	700410	702134	+	1725	1304	1329	1479	1622	1724	2270	2032	2009	2003	1420
NVIE_008530	CP007536.1	702274	703320	+	1047	5666	6760	6699	4820	6889	10984	8532	8678	9281	6136
NVIE_008540	CP007536.1	703354	704199	+	846	13351	19799	18209	13363	20165	28540	24640	24732	21354	18473
NVIE_008550	CP007536.1	704196	704633	-	438	37	58	55	57	58	165	223	213	184	129
NVIE_008560	CP007536.1	704808	706496	+	1689	17121	23957	21400	17137	23810	37135	32547	32605	28663	24121
NVIE_008570	CP007536.1	706500	706997	+	498	514	753	429	708	737	905	822	1177	1060	665
NVIE_008580	CP007536.1	706994	708502	+	1509	14761	22400	19689	16476	22265	25172	22955	25114	23420	18099
NVIE_008590	CP007536.1	708539	709564	+	1026	2797	3237	2706	2418	3537	6066	5472	5691	5139	4005
NVIE_008600	CP007536.1	709574	709948	-	375	2363	3502	3979	3441	4076	4015	4354	4119	3375	2899
NVIE_008610	CP007536.1	710121	710930	+	810	704	1085	1100	975	1238	1218	1255	1331	899	895
NVIE_0882	CP007536.1	711020	711103	+	84	83	82	75	55	99	62	78	110	76	62
NVIE_008620	CP007536.1	711159	712385	+	1227	15699	23307	17246	16451	21600	30693	26969	31677	25736	23359
NVIE_008630	CP007536.1	712594	715662	+	3069	20107	30232	23022	18322	31439	41683	36179	38170	33602	28597
NVIE_008650	CP007536.1	716001	717038	+	1038	338	456	481	365	448	641	619	664	454	454
NVIE_008660	CP007536.1	717055	717819	-	765	772	1238	1316	828	1169	1012	952	1005	876	696
NVIE_0887	CP007536.1	717872	718180	+	309	127	173	148	199	154	263	315	196	191	119
NVIE_008670	CP007536.1	718095	719516	+	1422	5609	8666	7844	5279	9394	14541	11191	12910	10960	9368
NVIE_0889	CP007536.1	719513	719983	-	471	986	1532	1356	995	1945	2681	2020	2207	2001	1533
NVIE_008680	CP007536.1	720073	720936	-	864	8278	12313	10867	7716	13788	21281	18075	18211	16311	13199
NVIE_008690	CP007536.1	721041	721502	+	462	2925	3968	4441	4139	4637	3760	4322	4332	3320	2865
NVIE_008700	CP007536.1	721505	722338	-	834	4703	7446	9155	5392	8025	6441	6714	6466	4932	4281
NVIE_008710	CP007536.1	722388	723602	-	1215	6469	10091	9253	6154	11027	13976	11929	12890	9278	9215
NVIE_008720	CP007536.1	723641	724231	-	591	10031	16542	16895	10878	16592	20125	17512	18535	18551	13630
NVIE_008730	CP007536.1	724269	724439	-	171	4285	6093	5260	4445	6914	12709	13062	11202	7441	7931
NVIE_008740	CP007536.1	724461	724691	-	231	1346	2170	1594	1654	2208	4123	3183	3535	2940	2333
NVIE_0897	CP007536.1	724746	725456	-	711	3771	4884	4605	2965	4361	7437	6434	6176	7627	4656
NVIE_008750	CP007536.1	725489	726415	-	927	6033	8493	7819	5518	8652	14153	12473	11768	9588	9042
NVIE_008760	CP007536.1	726541	727377	+	837	356	578	546	360	554	543	561	403	276	243
NVIE_008770	CP007536.1	727522	727668	+	147	32	22	22	30	41	36	17	58	19	18
NVIE_008780	CP007536.1	727934	728227	-	294	43	65	90	74	81	72	241	170	117	33
NVIE_008790	CP007536.1	728169	728489	+	321	551	709	683	612	776	1134	875	1024	923	693
NVIE_008800	CP007536.1	728635	729099	-	465	1142	1387	1297	1144	1267	1367	1295	1176	1288	804
NVIE_008810	CP007536.1	729188	729502	-	315	268	432	399	320	403	412	400	528	348	226
NVIE_008820	CP007536.1	729702	730142	+	441	166	310	334	207	241	162	192	150	154	87
NVIE_008830	CP007536.1	730193	730579	+	387	171	204	254	227	147	123	87	137	89	68
NVIE_008840	CP007536.1	730635	731021	+	387	52	129	178	101	123	62	72	60	48	61
NVIE_008850	CP007536.1	731049	731255	+	207	33	69	43	53	59	34	39	34	27	20
NVIE_008860	CP007536.1	731308	731622	+	315	58	100	68	107	64	110	88	70	41	49
NVIE_008870	CP007536.1	731628	732053	+	426	36	16	27	52	10	31	18	33	14	10
NVIE_008880	CP007536.1	732135	733367	+	1233	2503	3863	4565	3168	3789	3555	4241	3184	2533	2080
NVIE_008890	CP007536.1	733440	734447	+	1008	874	1161	1264	1048	1094	1217	1127	1229	871	796
NVIE_008900	CP007536.1	734444	735265	+	822	377	482	553	395	407	603	546	553	428	356
NVIE_008910	CP007536.1	735322	736428	-	1107	2432	3579	3512	2399	3858	4624	4509	4079	2938	2895
NVIE_008920	CP007536.1	736586	737257	+	672	289	486	482	264	558	548	457	459	354	347
NVIE_008930	CP007536.1	737294	738949	-	1656	442	923	919	680	875	514	580	672	466	425
NVIE_008940	CP007536.1	739361	740308	+	948	1021	1334	1547	1298	1532	1284	1475	1353	1047	783
NVIE_008950	CP007536.1	740305	740913	+	609	150	205	188	239	225	195	249	260	238	150
NVIE_008960	CP007536.1	740950	741282	+	333	88	112	98	95	94	154	146	208	124	105
NVIE_0920	CP007536.1	741286	741438	-	153	53	76	54	84	67	153	148	216	116	71
NVIE_008970	CP007536.1	741578	741925	+	348	47	71	88	82	76	182	155	212	133	103
NVIE_008980	CP007536.1	742136	742300	+	165	12	11	1	20	9	21	15	18	19	8
NVIE_008990	CP007536.1	742392	742979	+	588	1445	1828	1987	1772	1828	1369	1606	1331	1532	885
NVIE_009000	CP007536.1	743229	744218	+	990	491	696	754	769	833	1018	1080	1033	685	768
NVIE_009010	CP007536.1	744247	744423	-	177	0	8	6	12	19	7	7	17	10	8
NVIE_0925	CP007536.1	744404	744571	-	168	14	7	16	20	18	24	28	17	11	7
NVIE_009020	CP007536.1	745201	745434	-	234	4	7	18	8	0	6	16	11	4	10
NVIE_009030	CP007536.1	745659	745787	+	129	186	117	106	162	147	212	319	297	264	170
NVIE_009040	CP007536.1	745806	746006	-	201	30	45	84	36	32	44	31	24	28	14
NVIE_009050	CP007536.1	746474	747076	+	603	2681	5021	6160	4255	5083	4557	4096	4087	3056	2771
NVIE_009060	CP007536.1	747079	749397	+	2319	8257	12475	13828	12344	14652	13760	12890	12788	9370	9094
NVIE_009070	CP007536.1	749737	749961	+	225	1081	1649	1160	1501	1680	1461	1574	2173	1544	1109
NVIE_009080	CP007536.1	749973	753335	+	3363	8888	11843	12055	11298	15175	17677	15188	15537	12171	10732
NVIE_009090	CP007536.1	753332	753793	+	462	1366	2063	2202	1582	2461	2811	2209	2446	1990	1708
NVIE_009100	CP007536.1	753895	754440	+	546	1011	1237	1322	1084	1555	1757	1748	1692	1370	1328
NVIE_009110	CP007536.1	754404	755471	+	1068	938	1108	1063	891	1344	1372	1201	1200	930	817
NVIE_009120	CP007536.1	755477	756748	+	1272	2110	2983	2819	2312	3150	3428	3389	3475	2402	2414
NVIE_009130	CP007536.1	756904	760950	-	4047	4448	6643	6426	5653	7842	9319	7840	8423	6299	5683
NVIE_009140	CP007536.1	761062	764400	+	3339	3577	5245	5035	5057	5660	7510	6484	6402	4802	4285
NVIE_009150	CP007536.1	764538	768689	+	4152	4865	7501	6261	6369	8323	11789	10683	11028	7835	7437
NVIE_009160	CP007536.1	768886	771900	+	3015	5357	8544	7266	7538	10127	14335	13486	15142	10202	9540
NVIE_009170	CP007536.1	771957	773324	+	1368	1937	2892	2745	2854	3573	4499	4574	4717	3339	2746
NVIE_009180	CP007536.1	773655	774632	-	978	482	685	687	661	857	1035	1033	1174	845	761
NVIE_009190	CP007536.1	774638	775744	-	1107	1519	2127	2332	1748	2483	2568	2540	2337	1833	1705
NVIE_009200	CP007536.1	776139	776681	+	543	1593	2302	2611	2243	2620	3631	3693	3342	2496	2031
NVIE_009210	CP007536.1	777023	778225	+	1203	2111	4438	4195	3388	4891	6312	5984	6782	4583	4375
NVIE_009220	CP007536.1	778242	778532	+	291	135	224	194	223	233	525	517	310	332	220
NVIE_009230	CP007536.1	778755	779171	+	417	12	44	61	40	62	34	48	58	22	22
NVIE_009240	CP007536.1	779247	779510	+	264	929	1049	1643	1564	1756	964	767	759	476	359
NVIE_009250	CP007536.1	779857	780732	+	876	1846	2363	3423	2376	3904	2043	2086	1996	1558	1450
NVIE_009260	CP007536.1	780716	781825	+	1110	799	853	1339	1075	1534	957	880	914	721	567
NVIE_009270	CP007536.1	781919	782371	+	453	8729	10140	11275	14082	15651	6015	6159	6720	4800	3920
NVIE_009280	CP007536.1	782454	782984	+	531	1670	2048	3114	1983	3071	819	910	774	488	581
NVIE_009290	CP007536.1	782988	788102	+	5115	12700	16273	25589	16068	26854	6645	7163	6971	4453	4566
NVIE_009300	CP007536.1	788189	789226	-	1038	1222	1623	1772	1869	1819	2242	2085	2246	1731	1385
NVIE_009310	CP007536.1	789365	790039	-	675	698	934	819	897	1096	1582	1654	2086	1418	1144
NVIE_009320	CP007536.1	790127	792391	-	2265	749	1450	1336	1389	1460	1322	1304	1333	902	788
NVIE_009330	CP007536.1	792477	794066	+	1590	1299	2163	2553	1734	2928	1600	1703	1795	1256	1091
NVIE_009340	CP007536.1	794171	794278	-	108	0	0	0	4	1	14	1	2	8	6
NVIE_009350	CP007536.1	794342	794650	+	309	28	56	43	40	51	35	55	34	22	34
NVIE_009360	CP007536.1	794730	796880	+	2151	1302	1963	2483	1786	2278	1195	1077	1081	715	806
NVIE_009370	CP007536.1	797014	798837	+	1824	838	904	1187	924	1436	468	542	442	315	307
NVIE_009380	CP007536.1	798856	799596	-	741	430	683	755	1104	956	1075	1000	1072	899	587
NVIE_009390	CP007536.1	799620	800033	-	414	154	210	268	414	369	301	214	248	283	144
NVIE_009400	CP007536.1	800023	800301	-	279	391	346	578	781	523	435	413	325	373	215
NVIE_009410	CP007536.1	800419	800676	+	258	48	65	62	34	39	62	79	85	72	41
NVIE_009420	CP007536.1	800900	801601	+	702	347	541	565	439	533	308	280	244	236	168
NVIE_009430	CP007536.1	801598	803481	+	1884	622	684	941	740	1138	732	666	757	491	364
NVIE_009440	CP007536.1	803668	804063	+	396	2077	2955	4669	3152	3936	2054	1918	1777	1313	1258
NVIE_009450	CP007536.1	804122	804598	+	477	234	309	457	306	474	167	245	182	154	134
NVIE_009460	CP007536.1	804648	805652	+	1005	313	391	504	384	646	469	417	466	285	285
NVIE_009470	CP007536.1	805659	808361	+	2703	437	668	586	616	649	879	646	844	607	517
NVIE_0972	CP007536.1	808416	808550	-	135	8	12	22	8	11	0	0	0	2	2
NVIE_009480	CP007536.1	809124	809417	+	294	181	261	350	522	377	33	34	28	49	12
NVIE_009490	CP007536.1	809504	809851	+	348	485	399	402	811	730	240	238	263	204	176
NVIE_009500	CP007536.1	809987	810334	+	348	1487	1725	2149	2578	2591	562	578	654	500	376
NVIE_009510	CP007536.1	810490	811008	+	519	755	970	1009	1392	1173	61	79	71	66	56
NVIE_009520	CP007536.1	811014	811253	+	240	939	1224	1573	1704	1963	157	123	115	107	73
NVIE_0978	CP007536.1	811294	811536	+	243	0	0	11	0	4	0	0	0	2	0
NVIE_009530	CP007536.1	811421	813709	+	2289	5334	7542	8852	8310	9664	603	526	558	396	354
NVIE_009540	CP007536.1	813706	814404	+	699	1617	2283	2731	2825	3229	164	146	232	158	151
NVIE_009550	CP007536.1	814450	814812	+	363	537	697	1007	1146	979	209	165	291	206	133
NVIE_009560	CP007536.1	814787	815017	+	231	414	580	683	827	929	124	79	150	87	73
NVIE_009570	CP007536.1	815377	815619	+	243	434	616	665	704	915	580	504	473	472	279
NVIE_009580	CP007536.1	815638	815847	-	210	28	13	32	20	65	12	41	45	59	29
NVIE_009590	CP007536.1	815939	816334	-	396	59	51	60	134	74	71	97	77	75	67
NVIE_009600	CP007536.1	816802	817545	+	744	365	459	584	336	682	152	182	173	59	84
NVIE_009610	CP007536.1	817605	817838	-	234	52	93	97	134	119	221	151	148	126	142
NVIE_009620	CP007536.1	818075	818182	+	108	34	30	59	55	46	26	14	14	24	6
NVIE_009630	CP007536.1	818268	818744	+	477	341	409	581	518	687	605	442	494	405	378
NVIE_009640	CP007536.1	818999	819133	+	135	115	113	109	112	128	30	12	56	34	22
NVIE_009650	CP007536.1	819117	820385	-	1269	887	782	1017	909	985	986	1007	1025	840	652
NVIE_t0120	CP007536.1	820673	820746	+	74	20	12	42	70	46	105	94	51	73	56
NVIE_009660	CP007536.1	820848	821054	-	207	45	25	71	86	86	65	66	56	48	44
NVIE_0991	CP007536.1	821114	821326	+	213	3	0	12	2	0	0	0	8	2	0
NVIE_009670	CP007536.1	821342	821503	+	162	18	69	66	52	63	10	44	16	32	6
NVIE_009680	CP007536.1	821739	822020	+	282	0	8	0	4	5	8	6	12	4	4
NVIE_009690	CP007536.1	822228	822506	+	279	20	38	36	54	69	62	65	54	56	12
NVIE_009700	CP007536.1	822643	822918	+	276	22	15	21	25	19	14	6	29	12	12
NVIE_009710	CP007536.1	822926	823096	+	171	0	3	6	8	0	2	3	3	0	0
NVIE_009720	CP007536.1	823139	823699	+	561	484	726	546	361	793	1129	921	1033	821	819
NVIE_009730	CP007536.1	823828	824574	+	747	7958	13051	11605	8180	13033	11011	10392	10694	8763	7266
NVIE_009740	CP007536.1	824579	824866	-	288	4413	5310	5037	4981	5658	7035	6456	7547	6181	4456
NVIE_009750	CP007536.1	824900	825046	-	147	374	712	477	613	783	675	656	986	707	563
NVIE_t0130	CP007536.1	825138	825289	+	152	3310	2208	2155	3255	3438	5103	5027	4215	2796	2915
NVIE_009760	CP007536.1	825339	825830	+	492	3336	4335	3960	3197	4588	6353	5365	5814	4137	3906
NVIE_009770	CP007536.1	825952	826626	-	675	797	1194	937	585	750	594	458	460	411	349
NVIE_009780	CP007536.1	826728	828479	+	1752	914	1218	1016	950	896	892	709	745	617	655
NVIE_009790	CP007536.1	828674	830959	+	2286	5681	6952	6266	5804	4234	1476	1167	1493	1225	1091
NVIE_009800	CP007536.1	831000	831170	-	171	385	578	687	984	817	1151	1129	1414	1060	1002
NVIE_009810	CP007536.1	831242	831553	-	312	1620	2611	2581	2086	2587	2814	2685	2675	2118	1715
NVIE_009820	CP007536.1	831610	832692	+	1083	772	1034	708	648	695	435	337	451	280	276
NVIE_009840	CP007536.1	832894	833394	+	501	725	1017	708	794	738	508	384	394	320	284
NVIE_009850	CP007536.1	833419	833799	+	381	344	529	353	339	260	119	148	130	131	75
NVIE_009860	CP007536.1	833811	834917	+	1107	1574	1598	1567	1278	1011	649	523	469	586	360
NVIE_009870	CP007536.1	834914	836542	+	1629	1726	2307	1598	1526	1440	1603	1302	1287	1267	1084
NVIE_009880	CP007536.1	836560	837174	+	615	613	1552	1146	747	1051	835	689	831	608	604
NVIE_009890	CP007536.1	837189	837710	+	522	307	362	252	241	222	285	284	283	181	235
NVIE_009900	CP007536.1	837707	838534	+	828	188	172	198	163	162	138	174	161	176	172
NVIE_009910	CP007536.1	838540	840231	-	1692	635	751	651	634	563	344	272	295	202	257
NVIE_009920	CP007536.1	840333	841340	-	1008	3351	5443	6182	4043	4289	2490	2029	2366	1822	1668
NVIE_009930	CP007536.1	841475	842131	+	657	3729	4995	4901	4702	6231	4741	4428	4664	4518	2836
NVIE_009950	CP007536.1	842464	843156	+	693	8289	10056	8599	10245	6836	3070	2347	2527	1769	1831
NVIE_009960	CP007536.1	843173	844633	+	1461	650	581	487	451	261	100	111	153	61	75
NVIE_009970	CP007536.1	844626	845096	+	471	299	333	343	299	188	194	165	148	121	147
NVIE_009980	CP007536.1	845118	845654	+	537	253	375	370	200	325	232	110	203	121	116
NVIE_009990	CP007536.1	845661	846365	+	705	349	565	489	376	459	300	312	373	213	235
NVIE_010000	CP007536.1	846393	847895	+	1503	591	901	777	545	685	400	385	376	353	378
NVIE_010010	CP007536.1	848011	848295	+	285	228	432	205	319	172	63	65	79	59	39
NVIE_010020	CP007536.1	848292	848582	+	291	339	473	390	502	301	108	70	81	70	38
NVIE_010030	CP007536.1	848575	849339	+	765	2655	3830	3008	2524	1801	555	572	504	460	431
NVIE_010040	CP007536.1	849356	850177	+	822	468	709	541	457	388	108	132	143	130	104
NVIE_010050	CP007536.1	850149	850742	+	594	14429	23353	22459	21416	18940	329	262	449	245	167
NVIE_010060	CP007536.1	850767	851618	-	852	2469	3538	4889	4008	4074	1477	1416	1321	1064	948
NVIE_010070	CP007536.1	851668	851919	+	252	52	96	109	63	130	108	116	151	94	75
NVIE_010080	CP007536.1	851945	852685	-	741	266	316	336	281	269	50	41	40	49	30
NVIE_010090	CP007536.1	852755	853771	+	1017	986	1445	1308	951	1143	827	728	752	593	512
NVIE_010100	CP007536.1	853865	854251	-	387	389	564	443	461	608	848	837	958	735	714
NVIE_010110	CP007536.1	854454	854903	+	450	807	787	855	644	810	1176	977	978	1019	751
NVIE_010120	CP007536.1	854900	856858	-	1959	10373	12674	11980	8058	12212	14374	13546	12636	12711	8953
NVIE_010130	CP007536.1	856877	857806	-	930	4788	5436	5845	3948	5717	6206	5012	5014	5192	3498
NVIE_010140	CP007536.1	857975	858226	+	252	68	111	70	68	102	98	114	114	83	78
NVIE_010150	CP007536.1	858223	858447	-	225	1692	1558	1966	1568	2099	2793	2286	2011	2062	1419
NVIE_010160	CP007536.1	858509	859285	+	777	1448	2416	1869	1264	2367	3610	3110	3632	3060	2677
NVIE_010170	CP007536.1	859314	859565	+	252	2213	2634	1922	3179	3367	7133	5974	6781	5641	3932
NVIE_010180	CP007536.1	859574	860356	+	783	1386	2030	1627	1178	1762	3335	2834	3407	3077	2502
NVIE_010190	CP007536.1	860365	860904	-	540	1482	2380	1607	1423	2383	3525	2990	2851	2242	2451
NVIE_010200	CP007536.1	860895	861509	-	615	2975	2492	2717	1774	2358	3476	3143	2696	3858	2041
NVIE_010210	CP007536.1	861514	863643	-	2130	8867	12728	8797	7862	10964	16145	15332	15572	16138	11153
NVIE_010220	CP007536.1	863779	863958	+	180	0	4	12	3	5	0	18	9	4	8
NVIE_010230	CP007536.1	863915	864184	-	270	315	320	319	414	448	1412	1166	1229	824	799
NVIE_010240	CP007536.1	864217	865353	-	1137	76	114	77	98	136	162	159	135	138	60
NVIE_010250	CP007536.1	865442	865678	+	237	393	537	548	573	679	964	758	776	533	488
NVIE_010260	CP007536.1	865678	866091	+	414	600	682	824	928	1011	1604	1286	1635	1142	999
NVIE_010270	CP007536.1	866091	866384	+	294	196	224	222	434	302	503	381	423	371	245
NVIE_010280	CP007536.1	866369	866566	+	198	96	158	192	322	290	348	347	265	297	224
NVIE_010290	CP007536.1	866664	867164	-	501	213	186	230	262	236	457	548	499	344	330
NVIE_010300	CP007536.1	867192	867755	-	564	8158	10464	11474	8453	11914	15763	15273	12363	9467	9272
NVIE_010310	CP007536.1	867869	868438	+	570	3647	4576	4923	4899	5736	4465	4322	4518	3142	2661
NVIE_010320	CP007536.1	868488	869375	-	888	428	645	612	528	703	866	844	941	722	599
NVIE_010340	CP007536.1	869657	869914	-	258	129	99	150	175	157	204	176	212	195	82
NVIE_010350	CP007536.1	870599	871387	-	789	6887	11076	12995	8277	11556	8945	9371	8008	6105	5721
NVIE_010360	CP007536.1	871850	872521	+	672	1326	1927	2276	1731	1924	1724	1563	1466	1125	1037
NVIE_010370	CP007536.1	872715	873050	+	336	12	20	51	14	54	13	34	46	33	26
NVIE_010380	CP007536.1	873047	873202	+	156	18	7	16	8	10	20	28	31	27	17
NVIE_010390	CP007536.1	873439	873591	+	153	52	82	116	142	82	127	142	138	117	88
NVIE_1060	CP007536.1	873758	874345	+	588	194	216	212	180	280	235	262	195	182	117
NVIE_010410	CP007536.1	874604	876364	+	1761	128	190	232	205	264	290	192	251	182	135
NVIE_010420	CP007536.1	876487	876621	-	135	0	9	0	2	0	4	2	8	0	2
NVIE_010430	CP007536.1	876618	876827	-	210	24	51	58	48	84	36	56	28	37	61
NVIE_010440	CP007536.1	877092	878783	+	1692	576	797	709	640	847	993	786	910	795	598
NVIE_010450	CP007536.1	879063	883538	-	4476	4341	5325	6585	4159	6111	6226	5498	5515	5454	4071
NVIE_010460	CP007536.1	883964	885673	-	1710	689	921	1039	835	1241	1041	967	1098	675	733
NVIE_010470	CP007536.1	885715	887094	-	1380	388	642	671	517	735	464	400	431	324	278
NVIE_010480	CP007536.1	887426	887920	+	495	2447	2773	3368	1892	2177	3188	2812	2232	3246	1784
NVIE_1068	CP007536.1	888001	888186	+	186	162	253	153	189	247	479	329	314	310	262
NVIE_010490	CP007536.1	888212	889411	-	1200	10711	16285	13695	12693	18451	31575	30727	29911	23773	21703
NVIE_r0010	CP007536.1	889408	892363	-	2956	46	10	27	20	47	16	11	12	14	13
NVIE_010500	CP007536.1	892440	892529	-	90	5842	13250	11663	6494	10054	11720	9371	13923	9094	10443
NVIE_r0020	CP007536.1	892626	894095	-	1470	556	450	325	651	450	436	384	497	335	284
NVIE_1071	CP007536.1	894555	894629	-	75	1	4	9	4	0	0	1	0	0	2
NVIE_010510	CP007536.1	894858	896726	+	1869	5148	6983	6498	5017	7271	9766	8738	8404	7234	5942
NVIE_010520	CP007536.1	896723	897046	-	324	1444	2074	1923	1584	2037	2533	2480	2612	1867	1598
NVIE_010530	CP007536.1	897079	897345	-	267	172	216	338	192	271	238	304	223	185	130
NVIE_010540	CP007536.1	897956	898597	+	642	968	1293	1320	1223	1619	1725	1593	1629	1253	1139
NVIE_010550	CP007536.1	898604	898888	+	285	381	355	402	380	420	478	473	415	340	297
NVIE_010560	CP007536.1	898885	899139	-	255	2014	3767	4414	3374	4752	3806	3294	3747	2655	2632
NVIE_010570	CP007536.1	899225	899740	-	516	4478	7675	8536	5115	7371	4997	5177	4571	3899	3584
NVIE_010580	CP007536.1	899830	900270	-	441	930	1587	1425	1161	1149	922	1088	915	586	431
NVIE_010590	CP007536.1	900455	900577	+	123	2	8	0	4	4	5	1	1	0	0
NVIE_010600	CP007536.1	900621	901616	+	996	344	502	418	370	455	501	534	655	430	358
NVIE_010610	CP007536.1	901684	901911	+	228	38	37	55	49	55	83	72	67	52	65
NVIE_010630	CP007536.1	902241	902735	+	495	673	968	1354	894	1210	786	743	559	517	398
NVIE_010640	CP007536.1	903001	903126	+	126	198	223	229	414	325	168	116	206	163	126
NVIE_010650	CP007536.1	903141	903680	+	540	3440	5111	4337	3771	4565	3390	1975	2818	2113	2561
NVIE_010660	CP007536.1	903705	904940	-	1236	3050	4385	3481	2633	4342	4564	3753	4217	4773	3303
NVIE_010670	CP007536.1	904982	905380	-	399	184	251	160	250	203	457	318	371	414	235
NVIE_010680	CP007536.1	905385	906143	-	759	509	440	349	257	485	714	482	534	809	417
NVIE_010690	CP007536.1	906209	906610	-	402	138	190	140	139	199	293	198	172	185	101
NVIE_1087	CP007536.1	906604	906675	-	72	0	0	0	0	2	0	0	0	0	0
NVIE_RNA0906801D	CP007536.1	906718	906801	+	84	44	69	64	144	128	163	65	125	122	83
NVIE_010700	CP007536.1	906837	907226	+	390	1290	1067	1273	850	1067	2222	1769	1445	1485	1015
NVIE_010710	CP007536.1	907226	907540	+	315	68	44	90	50	94	131	165	90	102	64
NVIE_010720	CP007536.1	907600	908463	+	864	1790	2943	2771	1841	2985	3860	3371	4151	3080	2832
NVIE_010730	CP007536.1	908635	909192	+	558	1326	1978	3042	1943	1523	517	498	478	474	388
NVIE_010740	CP007536.1	909195	909788	+	594	2133	2359	3996	1859	954	325	311	296	375	200
NVIE_010750	CP007536.1	909821	909988	+	168	545	520	450	548	877	1431	1439	1175	1098	954
NVIE_010760	CP007536.1	910000	910713	+	714	13622	19751	17857	11893	21688	36255	32801	30165	22627	23424
NVIE_010770	CP007536.1	910703	912154	-	1452	7826	12666	12879	8206	10590	9634	10433	9784	8819	6840
NVIE_1096	CP007536.1	912086	912853	+	768	10729	14475	21335	13153	12117	3942	4237	3460	2902	2407
NVIE_010780	CP007536.1	912920	913108	+	189	1075	1340	1075	1011	1434	2313	1910	2505	2941	1494
NVIE_010790	CP007536.1	913171	913713	+	543	1650	2144	2021	1658	2272	5058	4592	3628	4519	2527
