Geneid	Chr	Start	End	Strand	Length	BF1	BF2	BF3	BF4	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5
NMAR_RS01415	NC_010085.1	234888	235055	-	168	22	63	96	58	71	52	573	35	53
NMAR_RS01420	NC_010085.1	235140	235982	-	843	1532	1496	1303	1061	1956	1975	19134	1147	1372
NMAR_RS01425	NC_010085.1	236068	236868	-	801	23	64	26	39	68	39	784	60	41
NMAR_RS01430	NC_010085.1	236951	238072	+	1122	167	124	89	50	212	240	2452	185	198
NMAR_RS01435	NC_010085.1	238081	239238	+	1158	87	147	41	138	132	166	1416	132	97
NMAR_RS01440	NC_010085.1	239256	239546	+	291	40	43	10	16	37	58	381	49	23
NMAR_RS01445	NC_010085.1	239653	241200	+	1548	6076	7633	5742	4865	6736	7145	80987	6144	6466
NMAR_RS01450	NC_010085.1	241206	242693	+	1488	3791	5045	3904	2892	4439	4853	49522	3523	3969
NMAR_RS01455	NC_010085.1	242700	243212	+	513	638	665	628	471	1001	911	10249	848	718
NMAR_RS01460	NC_010085.1	243229	243693	-	465	1799	2375	1903	1625	2066	2766	22917	1895	1871
NMAR_RS01465	NC_010085.1	243850	244182	+	333	639	816	1094	710	1556	2042	13925	791	1014
NMAR_RS01470	NC_010085.1	244223	244747	+	525	3649	4003	3507	3121	3991	4466	38680	4033	3211
NMAR_RS01475	NC_010085.1	244747	245349	+	603	738	1022	979	775	1359	1598	12495	906	1120
NMAR_RS01480	NC_010085.1	245352	246488	+	1137	1668	1829	1744	1138	2400	2908	22226	1952	1946
NMAR_RS01485	NC_010085.1	246489	247787	+	1299	1654	1880	2303	1735	2789	3398	24841	1932	2051
NMAR_RS01490	NC_010085.1	247787	248284	+	498	836	622	720	598	971	1118	8921	995	796
NMAR_RS01495	NC_010085.1	248277	248789	+	513	623	535	633	426	581	840	5260	522	454
NMAR_RS01500	NC_010085.1	248770	249075	+	306	157	177	170	157	217	273	1673	180	160
NMAR_RS01505	NC_010085.1	249075	250628	+	1554	1980	1777	2632	1732	4667	5247	37988	3141	3178
NMAR_RS01510	NC_010085.1	250630	252708	+	2079	2043	1985	2695	1860	4719	5285	37518	3236	2911
NMAR_RS01515	NC_010085.1	252721	254205	+	1485	1863	1953	2424	1536	4048	4659	30141	2662	2711
NMAR_RS01520	NC_010085.1	254195	255046	-	852	194	348	255	142	449	461	3586	249	311
NMAR_RS01525	NC_010085.1	255090	255183	-	94	48	114	88	81	56	126	1060	49	55
NMAR_RS01530	NC_010085.1	255264	255896	+	633	788	1015	664	434	993	1128	8835	503	781
NMAR_RS01535	NC_010085.1	255938	256011	+	74	31	33	31	60	22	36	219	4	24
NMAR_RS01540	NC_010085.1	256122	256727	-	606	282	394	248	284	261	281	2593	184	230
NMAR_RS01545	NC_010085.1	256778	257860	+	1083	153	158	82	122	205	212	1549	111	161
NMAR_RS01550	NC_010085.1	257852	258958	-	1107	231	192	275	235	255	290	2886	243	199
NMAR_RS01555	NC_010085.1	259032	259529	+	498	392	295	320	320	428	474	4313	540	330
NMAR_RS01560	NC_010085.1	259567	259785	+	219	58	40	100	73	74	105	952	117	74
NMAR_RS01565	NC_010085.1	259787	260614	-	828	179	184	54	147	159	117	1546	111	107
NMAR_RS01570	NC_010085.1	260620	262407	-	1788	266	277	247	190	380	421	3276	295	245
NMAR_RS01575	NC_010085.1	262500	262619	+	120	0	0	0	0	0	0	0	0	0
NMAR_RS09975	NC_010085.1	262664	262792	+	129	33	45	24	8	26	44	368	22	20
NMAR_RS01580	NC_010085.1	262794	264260	-	1467	485	544	422	355	417	323	4842	283	369
NMAR_RS09635	NC_010085.1	264300	264440	-	141	202	220	51	86	32	18	516	38	39
NMAR_RS01585	NC_010085.1	264765	265073	-	309	625	648	700	614	1250	962	11429	779	729
NMAR_RS01590	NC_010085.1	265235	266902	+	1668	340	455	367	353	388	342	3217	252	268
NMAR_RS01595	NC_010085.1	266899	267873	+	975	523	657	595	431	489	573	4744	431	370
NMAR_RS01600	NC_010085.1	267870	268538	+	669	736	1093	720	723	859	907	8271	558	719
NMAR_RS01605	NC_010085.1	268579	268839	-	261	743	1297	1109	897	2420	2388	26788	1408	1758
NMAR_RS01610	NC_010085.1	268906	269928	-	1023	148	293	138	109	339	268	2564	253	266
NMAR_RS01615	NC_010085.1	270209	270280	+	72	17	48	38	38	13	26	174	6	14
NMAR_RS01620	NC_010085.1	270335	270724	-	390	757	755	478	466	233	224	2475	183	214
NMAR_RS01625	NC_010085.1	270781	271128	-	348	119	204	195	146	273	231	2517	151	157
NMAR_RS01630	NC_010085.1	271169	271930	-	762	67	83	41	24	88	77	907	83	85
NMAR_RS01635	NC_010085.1	271956	272225	-	270	22	4	6	11	45	32	460	58	22
NMAR_RS01640	NC_010085.1	272261	272569	-	309	147	351	203	220	338	304	2425	171	242
NMAR_RS01645	NC_010085.1	272612	273388	+	777	32	15	54	14	26	21	142	18	20
NMAR_RS01650	NC_010085.1	273380	274249	-	870	168	182	86	90	222	194	2785	149	173
NMAR_RS01655	NC_010085.1	274255	275964	-	1710	359	380	342	269	510	386	5116	325	405
NMAR_RS01660	NC_010085.1	275986	276966	-	981	740	705	593	562	853	804	9438	571	679
NMAR_RS01665	NC_010085.1	276953	277603	-	651	34	53	32	63	108	89	721	55	65
NMAR_RS01670	NC_010085.1	277603	278346	-	744	58	171	104	141	157	128	1303	92	167
NMAR_RS01675	NC_010085.1	278371	279312	-	942	61	87	31	48	88	86	1175	90	128
NMAR_RS01680	NC_010085.1	279341	279964	-	624	1227	1592	1028	982	1882	1561	19647	1200	1576
NMAR_RS01685	NC_010085.1	279972	281210	-	1239	149	220	145	146	208	184	2147	185	139
NMAR_RS01690	NC_010085.1	281212	281448	-	237	384	401	335	319	657	750	8069	370	518
NMAR_RS01695	NC_010085.1	281501	281585	+	85	48	53	70	115	19	10	204	19	31
NMAR_RS01700	NC_010085.1	281601	282215	-	615	52	60	64	62	101	55	678	77	71
NMAR_RS01705	NC_010085.1	282289	282936	+	648	235	305	299	218	502	374	3702	242	348
NMAR_RS01710	NC_010085.1	282933	283541	+	609	95	172	139	77	163	193	1551	100	122
NMAR_RS01715	NC_010085.1	283549	284607	+	1059	152	225	230	168	220	279	2129	184	185
NMAR_RS01720	NC_010085.1	284600	286360	-	1761	388	509	464	402	332	333	3805	249	290
NMAR_RS01725	NC_010085.1	286452	287057	-	606	1374	1770	1113	1176	1748	1507	20280	1442	1674
NMAR_RS01730	NC_010085.1	287067	287642	-	576	3133	2856	2099	2257	3365	2565	27808	1752	1903
NMAR_RS01735	NC_010085.1	287984	288292	+	309	101	154	130	125	142	151	1309	70	133
NMAR_RS01740	NC_010085.1	288284	288787	-	504	144	211	216	122	243	190	2112	172	162
NMAR_RS01745	NC_010085.1	288926	289897	+	972	698	1031	1212	696	1584	1802	11716	740	983
NMAR_RS01750	NC_010085.1	289894	290664	+	771	1086	1036	1009	915	1529	1592	14396	1432	1204
NMAR_RS01755	NC_010085.1	290680	291624	+	945	162	192	212	246	398	436	3942	339	211
NMAR_RS01760	NC_010085.1	291621	292727	+	1107	152	268	230	139	412	475	3147	253	274
NMAR_RS01765	NC_010085.1	292745	294097	-	1353	92	46	68	85	89	100	1019	82	77
NMAR_RS01770	NC_010085.1	294190	297375	+	3186	2626	2685	3454	3057	1866	2096	16367	1283	1839
NMAR_RS09640	NC_010085.1	297430	298452	+	1023	17003	13705	13814	10777	22566	24213	216160	17010	15265
NMAR_RS01785	NC_010085.1	298503	298826	+	324	1047	1127	847	866	830	870	9102	744	773
NMAR_RS01790	NC_010085.1	298821	300401	-	1581	1995	3022	2935	2102	3754	4240	36002	2571	3028
NMAR_RS01795	NC_010085.1	300474	301250	-	777	58	32	46	25	74	37	417	24	45
NMAR_RS01800	NC_010085.1	301284	302198	-	915	1034	1396	1119	839	1322	1490	11627	781	1083
NMAR_RS01805	NC_010085.1	302289	303509	+	1221	99	103	124	89	215	168	1600	123	111
NMAR_RS01810	NC_010085.1	303510	304307	+	798	89	109	81	59	215	175	1706	100	207
NMAR_RS01815	NC_010085.1	304304	305470	+	1167	70	86	117	109	228	254	1661	104	191
NMAR_RS01820	NC_010085.1	305467	306258	-	792	220	341	342	137	391	400	4211	225	237
NMAR_RS01825	NC_010085.1	306364	307188	-	825	43951	43325	46172	32908	57232	71537	471188	41857	41485
NMAR_RS01830	NC_010085.1	307311	308168	-	858	50767	58670	55604	42430	65412	78416	645955	68587	54408
NMAR_RS01835	NC_010085.1	308232	309071	-	840	46487	54566	53930	43905	66793	83212	655323	63783	50326
NMAR_RS01840	NC_010085.1	309252	309503	+	252	54	50	94	47	96	104	844	43	72
NMAR_RS01845	NC_010085.1	309504	312851	+	3348	6287	8468	7240	5901	8712	9348	88000	5527	6732
NMAR_RS01850	NC_010085.1	312851	316642	+	3792	8550	11002	9822	7597	13019	13888	132733	8369	11286
NMAR_RS01855	NC_010085.1	316656	316889	+	234	117	80	109	87	140	155	1950	118	150
NMAR_RS01860	NC_010085.1	316926	318104	+	1179	205	153	168	202	341	239	3759	271	291
NMAR_RS01865	NC_010085.1	318160	319821	+	1662	136	274	244	187	143	148	1442	45	114
NMAR_RS01870	NC_010085.1	319896	320219	+	324	1046	862	487	433	1572	1267	8941	760	1152
NMAR_RS01875	NC_010085.1	320271	320735	+	465	186	216	197	183	354	273	4196	310	236
NMAR_RS01880	NC_010085.1	320739	321176	+	438	371	644	468	329	648	726	7528	333	479
NMAR_RS01885	NC_010085.1	321179	321778	+	600	1352	1960	1584	1226	2604	2600	24164	1298	2006
NMAR_RS01890	NC_010085.1	321800	321890	-	91	13	38	34	8	20	46	266	9	16
NMAR_RS01895	NC_010085.1	321937	322257	-	321	10	26	4	11	20	10	102	19	10
NMAR_RS01900	NC_010085.1	322289	322993	+	705	120	214	136	138	150	135	1779	119	123
NMAR_RS01905	NC_010085.1	322995	323444	+	450	6	12	19	12	12	14	78	0	7
NMAR_RS01910	NC_010085.1	323446	324459	-	1014	462	525	419	427	754	664	7621	372	597
NMAR_RS01915	NC_010085.1	324760	325362	+	603	537	751	678	636	539	432	3924	295	424
NMAR_RS01920	NC_010085.1	325543	325788	+	246	46	63	72	37	83	44	581	58	33
NMAR_RS01925	NC_010085.1	325824	326018	+	195	61	111	73	53	48	64	639	53	69
NMAR_RS01930	NC_010085.1	326058	326291	+	234	8	0	10	2	6	7	142	9	13
NMAR_RS01935	NC_010085.1	326295	326474	+	180	133	228	111	84	200	223	1330	93	139
NMAR_RS01940	NC_010085.1	326498	328084	-	1587	110643	95822	90425	86713	25583	29693	258199	24218	27147
NMAR_RS09645	NC_010085.1	328212	328352	+	141	8	13	18	26	45	28	423	6	11
NMAR_RS01945	NC_010085.1	328377	328568	+	192	16	16	6	4	17	15	260	18	26
NMAR_RS09915	NC_010085.1	328516	328749	+	234	34	84	28	71	52	60	926	47	74
NMAR_RS09980	NC_010085.1	328756	328878	+	123	12	0	9	8	16	12	241	7	6
NMAR_RS01955	NC_010085.1	328905	329423	+	519	106	132	67	65	110	171	1266	68	102
NMAR_RS01960	NC_010085.1	329462	329695	+	234	13	15	78	20	32	14	137	10	24
NMAR_RS09920	NC_010085.1	329707	330012	-	306	81	30	71	12	58	80	549	24	57
NMAR_RS01970	NC_010085.1	330106	330759	-	654	145	134	126	71	142	155	1813	108	126
NMAR_RS01975	NC_010085.1	330772	333639	-	2868	435	764	653	472	903	1075	8356	676	707
NMAR_RS01980	NC_010085.1	333646	336315	-	2670	217	493	493	287	559	606	5229	358	357
NMAR_RS01985	NC_010085.1	336404	337354	+	951	242	418	262	216	250	269	2550	241	184
NMAR_RS01990	NC_010085.1	337401	337793	+	393	123	143	116	83	81	108	1238	104	52
NMAR_RS01995	NC_010085.1	337790	339022	-	1233	257	306	293	212	324	334	3385	224	248
NMAR_RS02000	NC_010085.1	339073	340590	-	1518	152	262	141	166	295	234	3375	204	262
NMAR_RS02005	NC_010085.1	340670	341179	+	510	2060	2334	1984	2149	1573	1565	16447	1523	1192
NMAR_RS02010	NC_010085.1	341230	341547	+	318	5879	3981	4234	4358	6911	4655	38331	1873	3086
NMAR_RS02015	NC_010085.1	341630	342262	+	633	379	257	360	320	157	180	1786	293	153
NMAR_RS02020	NC_010085.1	342391	342768	+	378	16	24	17	12	18	36	169	24	10
NMAR_RS02025	NC_010085.1	342779	343666	-	888	5557	5266	5292	4381	788	874	8599	659	793
NMAR_RS02030	NC_010085.1	343754	343969	-	216	6	18	23	0	5	31	129	20	18
NMAR_RS02035	NC_010085.1	343966	344376	-	411	173	56	100	71	116	78	406	28	51
NMAR_RS02040	NC_010085.1	344405	345478	-	1074	186	205	135	135	301	240	2203	202	211
NMAR_RS02045	NC_010085.1	345558	346424	-	867	2278	2899	2011	1733	2988	2565	33785	1902	2194
NMAR_RS02050	NC_010085.1	346417	347079	-	663	2939	4014	2811	2113	4348	4613	38622	2735	3600
NMAR_RS02055	NC_010085.1	347178	347708	+	531	320	456	382	282	632	618	5349	349	494
NMAR_RS09985	NC_010085.1	347899	348024	+	126	87	128	88	114	135	77	752	53	89
NMAR_RS09650	NC_010085.1	348189	348329	+	141	15	34	25	11	25	18	171	12	5
NMAR_RS02060	NC_010085.1	348359	348547	+	189	21	11	22	29	23	15	143	17	8
NMAR_RS02065	NC_010085.1	348548	349027	-	480	1124	1896	1701	1541	1951	1819	18834	1223	1340
NMAR_RS02070	NC_010085.1	349062	349520	-	459	194	280	276	168	374	320	2990	250	226
NMAR_RS02075	NC_010085.1	349523	349669	-	147	200	257	185	156	314	317	3014	183	249
NMAR_RS02080	NC_010085.1	349736	350512	+	777	647	820	593	575	614	477	4447	437	473
NMAR_RS02085	NC_010085.1	350509	350808	+	300	63	115	95	110	111	125	1148	62	81
NMAR_RS02090	NC_010085.1	350810	351205	-	396	233	491	311	324	537	386	4429	295	415
NMAR_RS02095	NC_010085.1	351250	351705	-	456	379	531	308	301	557	447	6856	278	502
NMAR_RS02100	NC_010085.1	351689	352093	-	405	915	1131	955	939	1454	1367	15049	948	1062
NMAR_RS02105	NC_010085.1	352244	353848	+	1605	2297	2810	3281	2152	3648	4318	32364	2961	2606
NMAR_RS02110	NC_010085.1	353850	355832	-	1983	185	312	293	239	283	339	4426	287	250
NMAR_RS02115	NC_010085.1	355951	356571	+	621	12964	18116	16818	11964	15165	17502	145453	9019	12736
NMAR_RS02120	NC_010085.1	356654	357091	+	438	257	416	264	289	437	435	5241	267	417
NMAR_RS02125	NC_010085.1	357095	358636	+	1542	123	151	169	137	189	156	1532	118	106
NMAR_RS02130	NC_010085.1	358633	359547	+	915	514	474	496	332	857	771	7194	526	597
NMAR_RS02135	NC_010085.1	359584	360066	+	483	1684	2612	2062	1808	2908	2861	25679	1974	2246
NMAR_RS02140	NC_010085.1	360068	360784	+	717	477	763	720	476	720	687	7730	371	517
NMAR_RS02145	NC_010085.1	360791	361258	+	468	853	1055	1009	677	1167	1242	12544	839	1087
NMAR_RS02150	NC_010085.1	361260	361724	+	465	2109	2405	2611	1710	3479	3664	31197	2274	2347
NMAR_RS02155	NC_010085.1	361717	363147	+	1431	6783	6260	6442	5365	6913	8233	71976	6819	5639
NMAR_RS02160	NC_010085.1	363134	363712	+	579	516	607	430	344	1016	867	9810	631	692
NMAR_RS02165	NC_010085.1	363716	364339	+	624	926	1111	1028	986	1735	1648	15513	1311	1315
NMAR_RS02170	NC_010085.1	364336	364896	+	561	67	81	75	46	157	106	1412	57	105
NMAR_RS02175	NC_010085.1	364893	365891	+	999	328	445	308	352	530	475	6081	371	423
NMAR_RS02180	NC_010085.1	365895	366341	+	447	58	57	76	22	87	71	866	48	61
NMAR_RS02185	NC_010085.1	366393	366493	+	101	38	48	50	56	39	22	368	18	11
NMAR_RS09655	NC_010085.1	366639	366779	+	141	1	12	0	10	5	1	94	3	6
NMAR_RS02190	NC_010085.1	366847	367329	+	483	56	70	78	47	72	90	480	47	44
NMAR_RS02195	NC_010085.1	367332	368645	-	1314	243	356	290	228	334	279	3109	168	170
NMAR_RS02200	NC_010085.1	368734	369015	+	282	48	42	44	38	87	94	809	52	50
NMAR_RS02205	NC_010085.1	369042	369413	+	372	54	12	42	24	29	41	506	48	21
NMAR_RS02210	NC_010085.1	369607	370575	-	969	32	54	34	22	107	41	978	27	62
NMAR_RS09660	NC_010085.1	370627	370773	+	147	26	80	53	20	48	33	292	29	14
NMAR_RS02215	NC_010085.1	370822	372732	+	1911	920	1309	1059	885	1462	1672	15150	1105	1096
NMAR_RS02220	NC_010085.1	372722	373684	+	963	645	641	718	663	792	847	7585	481	595
NMAR_RS02225	NC_010085.1	373734	374174	+	441	61	163	101	94	144	201	1417	102	163
NMAR_RS02230	NC_010085.1	374167	374700	-	534	38	32	74	22	20	44	253	29	28
NMAR_RS02235	NC_010085.1	374803	375129	+	327	400	638	673	516	513	500	5235	234	366
NMAR_RS02240	NC_010085.1	375131	375685	-	555	164	242	223	113	394	460	3408	251	295
NMAR_RS02245	NC_010085.1	375731	376510	-	780	80	138	99	119	122	101	1110	57	89
NMAR_RS02250	NC_010085.1	376584	377852	+	1269	2124	2471	2505	1806	1743	1997	18446	1580	1486
NMAR_RS02255	NC_010085.1	377852	378334	+	483	281	347	388	334	315	340	2678	251	262
NMAR_RS02260	NC_010085.1	378343	379758	+	1416	587	799	603	508	843	727	8090	519	622
NMAR_RS02265	NC_010085.1	379760	380344	+	585	88	123	47	49	127	114	1184	123	114
NMAR_RS02270	NC_010085.1	380322	381041	-	720	181	103	94	93	108	82	1035	70	74
NMAR_RS02275	NC_010085.1	381045	381494	-	450	118	192	312	119	373	257	3718	127	226
NMAR_RS02280	NC_010085.1	381491	381955	-	465	263	460	378	280	669	476	9517	367	519
NMAR_RS02285	NC_010085.1	381948	382295	-	348	677	1019	835	675	987	866	13387	754	985
NMAR_RS02290	NC_010085.1	382339	383004	-	666	848	1126	990	734	1322	1488	11035	753	917
NMAR_RS02295	NC_010085.1	383085	383438	+	354	71	90	35	77	91	98	1312	87	116
NMAR_RS02300	NC_010085.1	383542	384228	+	687	2726	2968	1895	1966	2081	2055	24938	2151	2313
NMAR_RS02305	NC_010085.1	384228	384908	+	681	1745	2335	2173	1800	2473	2579	20766	1422	1855
NMAR_RS02310	NC_010085.1	384908	385642	+	735	1380	1610	1686	1156	1712	1889	17060	1010	1321
NMAR_RS02315	NC_010085.1	385645	386463	+	819	1559	1817	1798	1335	2339	2348	21668	1300	1723
NMAR_RS02320	NC_010085.1	386465	386677	+	213	52	49	39	96	99	96	1203	89	52
NMAR_RS02325	NC_010085.1	386661	386906	+	246	111	93	98	54	130	100	1283	84	113
NMAR_RS02330	NC_010085.1	386930	387319	+	390	354	548	272	196	701	479	7295	283	524
NMAR_RS02335	NC_010085.1	387372	388058	+	687	151	246	109	111	137	162	1280	82	112
NMAR_RS02340	NC_010085.1	388048	388542	+	495	18	68	16	24	28	49	436	10	23
NMAR_RS02345	NC_010085.1	388545	389024	-	480	66	22	22	12	72	67	482	28	53
NMAR_RS02350	NC_010085.1	389014	389829	-	816	177	96	219	118	357	296	2769	228	182
NMAR_RS02355	NC_010085.1	389913	390758	+	846	6188	6327	6114	4593	6531	7818	56370	5792	5357
NMAR_RS02360	NC_010085.1	390760	391071	+	312	154	229	181	192	163	181	1933	106	188
NMAR_RS02365	NC_010085.1	391108	392055	+	948	4126	4110	4140	3450	4855	5535	54537	4469	4262
NMAR_RS02370	NC_010085.1	392111	394177	+	2067	2110	2433	2082	1917	2991	3126	26761	2126	2436
NMAR_RS02375	NC_010085.1	394174	395703	-	1530	494	587	420	369	739	521	7056	397	684
NMAR_RS02380	NC_010085.1	396135	397460	+	1326	385	420	524	364	544	576	6122	433	388
NMAR_RS02385	NC_010085.1	397453	397881	+	429	18	15	32	2	30	36	308	32	14
NMAR_RS02390	NC_010085.1	397883	397959	-	77	30	47	14	30	12	40	178	4	8
NMAR_RS02395	NC_010085.1	398023	398286	+	264	4	1	5	4	1	2	33	4	6
NMAR_RS02400	NC_010085.1	398278	398787	-	510	569	843	579	440	1000	741	9501	554	674
NMAR_RS02405	NC_010085.1	398886	399449	+	564	30	105	62	44	64	76	857	70	110
NMAR_RS02410	NC_010085.1	399439	400095	-	657	114	148	65	132	155	196	1532	126	150
NMAR_RS02415	NC_010085.1	400165	400557	-	393	88	192	87	67	193	224	2537	218	165
NMAR_RS02420	NC_010085.1	400592	401197	+	606	140	163	109	58	183	181	2305	180	156
NMAR_RS02425	NC_010085.1	401255	401536	+	282	64	76	82	37	80	116	595	32	62
NMAR_RS02430	NC_010085.1	401560	402183	-	624	2042	3356	2378	1708	324	324	3823	265	349
NMAR_RS02435	NC_010085.1	402319	410613	+	8295	29105	36904	33243	28167	472	504	5136	769	478
NMAR_RS02440	NC_010085.1	410760	411020	+	261	451	755	673	497	1111	1465	10930	725	971
NMAR_RS02445	NC_010085.1	411035	411481	-	447	766	722	529	746	155	201	2544	250	220
NMAR_RS02450	NC_010085.1	411535	412170	-	636	247708	277990	314408	250990	12914	15521	176792	27705	15001
NMAR_RS02455	NC_010085.1	412369	414171	+	1803	508	625	553	436	160	248	2130	155	201
NMAR_RS02460	NC_010085.1	414189	414422	-	234	8	102	10	6	119	96	1365	39	102
NMAR_RS02465	NC_010085.1	414519	414758	-	240	40	71	32	30	663	690	8680	330	724
NMAR_RS02470	NC_010085.1	414853	415629	+	777	122	171	153	100	423	565	4869	351	480
NMAR_RS02475	NC_010085.1	415626	416135	-	510	138	420	330	150	2769	2519	29601	1495	1863
NMAR_RS02480	NC_010085.1	416344	417243	+	900	59	108	106	46	680	956	6392	265	624
NMAR_RS02485	NC_010085.1	417353	417952	+	600	1104	1523	1202	823	3759	3882	38136	2310	3727
NMAR_RS02490	NC_010085.1	418184	418570	+	387	154	330	260	142	1437	1401	14518	1402	1063
NMAR_RS02495	NC_010085.1	418604	418681	-	78	103	14	26	58	12	20	124	16	15
NMAR_RS02500	NC_010085.1	418792	419673	+	882	312	248	232	214	315	415	2916	243	260
NMAR_RS09665	NC_010085.1	419727	419870	+	144	1474	1931	2281	1534	2043	2224	21832	683	1493
NMAR_RS02505	NC_010085.1	419906	420121	-	216	320	387	289	271	256	273	1849	104	213
NMAR_RS02510	NC_010085.1	420196	421641	+	1446	5193	6190	6277	5856	4693	5859	51172	5382	3683
NMAR_RS02515	NC_010085.1	421688	422047	+	360	88	185	264	266	171	193	1897	112	146
NMAR_RS02520	NC_010085.1	422050	422526	-	477	16	48	13	40	47	58	482	24	33
NMAR_RS02525	NC_010085.1	422609	423250	+	642	166	258	252	144	219	194	2084	102	197
NMAR_RS02530	NC_010085.1	423259	425484	-	2226	1955	2308	2157	1653	2124	2257	19876	1278	1686
NMAR_RS02535	NC_010085.1	425604	426323	+	720	92	293	108	180	238	234	2060	129	164
NMAR_RS02540	NC_010085.1	426320	426637	-	318	4	6	24	9	28	26	248	31	20
NMAR_RS02545	NC_010085.1	426726	427178	+	453	2527	2482	2349	1665	4947	5875	55596	5856	5042
NMAR_RS02550	NC_010085.1	427399	428397	+	999	140	209	214	143	162	136	1298	92	118
NMAR_RS02555	NC_010085.1	428394	429179	+	786	239	192	214	114	121	117	1288	46	134
NMAR_RS02560	NC_010085.1	429251	430828	+	1578	3040	2893	3807	2652	5694	6442	62133	5186	4404
NMAR_RS02565	NC_010085.1	430926	432557	+	1632	4719	5899	5142	3583	2250	3191	17930	1856	2430
NMAR_RS02570	NC_010085.1	432960	434213	+	1254	11755	13234	12655	10745	5104	6489	49198	3915	6061
NMAR_RS02575	NC_010085.1	434232	434492	-	261	2	0	0	11	0	2	86	20	2
NMAR_RS02580	NC_010085.1	434638	435615	+	978	3729	4509	4012	3803	1394	1880	16643	2020	1799
NMAR_RS02585	NC_010085.1	435612	436544	+	933	399	497	412	369	243	326	3255	226	296
NMAR_RS02590	NC_010085.1	436541	437374	+	834	371	387	252	258	396	443	3847	341	365
NMAR_RS02595	NC_010085.1	437374	438033	+	660	104	166	164	86	138	176	1515	109	123
NMAR_RS02600	NC_010085.1	438080	439159	+	1080	131	218	124	90	156	204	2063	127	148
NMAR_RS02605	NC_010085.1	439159	439461	+	303	9	43	51	55	17	34	362	4	35
NMAR_RS02610	NC_010085.1	439458	439757	-	300	70	52	16	41	29	19	74	6	30
NMAR_RS02615	NC_010085.1	439798	440196	+	399	70	68	101	66	22	20	232	24	25
NMAR_RS02620	NC_010085.1	440199	440882	+	684	30	54	33	36	12	39	168	9	40
NMAR_RS02625	NC_010085.1	440905	442182	+	1278	385	634	394	447	464	546	5597	439	390
NMAR_RS02630	NC_010085.1	442179	443114	+	936	176	130	190	133	244	250	2294	119	226
NMAR_RS02635	NC_010085.1	443111	443851	+	741	545	318	241	171	386	339	3561	278	359
NMAR_RS02640	NC_010085.1	443851	444654	+	804	212	300	219	270	385	375	2779	152	292
NMAR_RS02645	NC_010085.1	444696	444884	+	189	0	34	2	12	46	10	205	28	38
NMAR_RS02650	NC_010085.1	444970	446370	+	1401	11487	15367	12706	10057	8196	9348	87901	7367	8192
NMAR_RS02655	NC_010085.1	446390	447790	+	1401	1836	2613	1471	1602	1748	1674	18085	1165	1903
NMAR_RS02660	NC_010085.1	447804	449048	+	1245	1427	1741	1691	1477	1398	1651	16990	1206	1376
NMAR_RS02665	NC_010085.1	449045	449488	+	444	386	367	276	298	358	350	3532	251	392
NMAR_RS02670	NC_010085.1	449490	449834	+	345	99	282	144	121	85	112	920	65	91
NMAR_RS02675	NC_010085.1	449827	451053	-	1227	208	284	345	270	391	387	4042	217	262
NMAR_RS02680	NC_010085.1	451232	451840	+	609	108	126	100	138	173	194	1905	149	138
NMAR_RS02685	NC_010085.1	451829	452140	-	312	42	56	19	51	48	70	419	50	50
NMAR_RS02690	NC_010085.1	452278	453219	+	942	830	707	403	281	1567	938	12623	853	1433
NMAR_RS02695	NC_010085.1	453282	453887	+	606	83	177	105	117	79	71	663	90	86
NMAR_RS02700	NC_010085.1	453881	454195	-	315	2271	2779	1879	1933	2374	2332	26240	2365	1839
NMAR_RS02705	NC_010085.1	454316	454416	+	101	56	74	75	83	42	62	939	42	27
NMAR_RS09990	NC_010085.1	454450	454572	-	123	385	669	730	557	582	794	5784	353	774
NMAR_RS02710	NC_010085.1	454758	455378	+	621	56	135	42	20	54	67	515	64	66
NMAR_RS02715	NC_010085.1	455379	455999	+	621	40	37	23	18	46	53	461	31	41
NMAR_RS02720	NC_010085.1	455996	456307	-	312	6	4	18	11	16	34	398	18	10
NMAR_RS02725	NC_010085.1	456304	457284	-	981	636	720	572	530	972	1137	10393	972	863
NMAR_RS02730	NC_010085.1	457316	458581	-	1266	196	188	108	55	295	242	2886	143	208
NMAR_RS02735	NC_010085.1	458578	459231	-	654	61	66	16	70	98	73	1250	50	145
NMAR_RS02740	NC_010085.1	459332	460348	+	1017	1019	1273	881	670	911	1069	7832	674	773
NMAR_RS02745	NC_010085.1	460345	460683	-	339	28	8	18	35	36	35	382	3	44
NMAR_RS02750	NC_010085.1	460691	461689	-	999	381	435	283	252	586	521	6650	553	495
NMAR_RS02755	NC_010085.1	461765	462442	-	678	53	105	113	68	135	181	1347	71	116
NMAR_RS02760	NC_010085.1	462514	463284	-	771	1438	1905	1390	1151	1478	1392	18032	1369	1470
NMAR_RS02765	NC_010085.1	463382	464338	-	957	20020	22607	18368	14382	25404	28760	211241	19733	18239
NMAR_RS02770	NC_010085.1	464335	464604	-	270	3388	4195	4352	3102	4077	3988	45056	2727	2486
NMAR_RS02775	NC_010085.1	464679	464978	-	300	103	137	67	49	127	70	1097	61	96
NMAR_RS02780	NC_010085.1	464980	465363	-	384	26	92	34	32	110	34	1569	48	74
NMAR_RS02785	NC_010085.1	465432	466010	-	579	194	319	265	171	496	376	6026	324	498
